cohort,distance,p_outgrowth,n_voxels
UCSF-POSTOP,1.0,0.32935975369069237,1076695
UCSF-POSTOP,2.0,0.15207417231177703,754783
UCSF-POSTOP,3.0,0.10427415758965539,580863
UCSF-POSTOP,4.0,0.07859327938597525,635805
UCSF-POSTOP,5.0,0.06241423783208236,533452
UCSF-POSTOP,6.0,0.052381627759581245,451246
UCSF-POSTOP,7.0,0.04514712108382726,377920
UCSF-POSTOP,8.0,0.03762906446730964,335007
UCSF-POSTOP,9.0,0.03175701535493945,326605
UCSF-POSTOP,10.0,0.027297786812901823,239067
UCSF-POSTOP,11.0,0.02532715484666481,201128
UCSF-POSTOP,12.0,0.023530402458902998,166253
UCSF-POSTOP,13.0,0.02235887124540359,145222
UCSF-POSTOP,14.0,0.02286484652607896,112006
UCSF-POSTOP,15.0,0.02243789293780138,81915
UCSF-POSTOP,16.0,0.0218307110459091,74299
UCSF-POSTOP,17.0,0.02309538625655614,56245
UCSF-POSTOP,18.0,0.020077220077220077,44030
UCSF-POSTOP,19.0,0.01763596353348004,31810
UCSF-POSTOP,20.0,0.016191607284243865,25260
UCSF-POSTOP,21.0,0.014081087642631707,20595
UCSF-POSTOP,22.0,0.015809235228245833,15181
UCSF-POSTOP,23.0,0.014880468368840463,12298
UCSF-POSTOP,24.0,0.014418229481750353,9918
MU-Glioma-Post,1.0,0.48810734801340355,401088
MU-Glioma-Post,2.0,0.434997434899197,274843
MU-Glioma-Post,3.0,0.3982589461592865,210677
MU-Glioma-Post,4.0,0.36949925435534064,232014
MU-Glioma-Post,5.0,0.3409928697741322,193963
MU-Glioma-Post,6.0,0.32104403200804393,167083
MU-Glioma-Post,7.0,0.3044352554661833,141232
MU-Glioma-Post,8.0,0.2910144068853686,128272
MU-Glioma-Post,9.0,0.28547689488356204,128781
MU-Glioma-Post,10.0,0.27801624783584156,97613
MU-Glioma-Post,11.0,0.27499515432063576,87707
MU-Glioma-Post,12.0,0.2710616037269344,76846
MU-Glioma-Post,13.0,0.2720062122136558,72116
MU-Glioma-Post,14.0,0.27987348093890463,60070
MU-Glioma-Post,15.0,0.2896059911227044,47537
MU-Glioma-Post,16.0,0.29707857551426814,47203
MU-Glioma-Post,17.0,0.3067754559173338,39097
MU-Glioma-Post,18.0,0.3199686482575666,33172
MU-Glioma-Post,19.0,0.3230769230769231,26715
MU-Glioma-Post,20.0,0.3270542248835662,24048
MU-Glioma-Post,21.0,0.32756072781010437,21654
MU-Glioma-Post,22.0,0.3338737695425594,17270
MU-Glioma-Post,23.0,0.3310787729726037,14637
MU-Glioma-Post,24.0,0.32219399904746787,12598
RHUH-GBM,1.0,0.37445349335619377,81655
RHUH-GBM,2.0,0.3656837916063676,55280
RHUH-GBM,3.0,0.3585439593663079,41345
RHUH-GBM,4.0,0.3513753327417924,43953
RHUH-GBM,5.0,0.3380799777065626,35885
RHUH-GBM,6.0,0.33398282694848086,30280
RHUH-GBM,7.0,0.3288404438193468,25596
RHUH-GBM,8.0,0.33910602461671346,23155
RHUH-GBM,9.0,0.34269638606362257,23105
RHUH-GBM,10.0,0.3437518020875382,17341
RHUH-GBM,11.0,0.3451820412494197,15079
RHUH-GBM,12.0,0.3326696400127429,12556
RHUH-GBM,13.0,0.3249168838170545,11129
RHUH-GBM,14.0,0.3028152629129828,8596
RHUH-GBM,15.0,0.26806025207500767,6506
RHUH-GBM,16.0,0.23669839288500547,6409
RHUH-GBM,17.0,0.17758985200845667,5203
RHUH-GBM,18.0,0.1414347137361394,4419
RHUH-GBM,19.0,0.10289855072463767,3450
RHUH-GBM,20.0,0.08212401055408972,3032
RHUH-GBM,21.0,0.06143465909090909,2816
RHUH-GBM,22.0,0.0284115368058545,2323
RHUH-GBM,23.0,0.016152019002375298,2105
RHUH-GBM,24.0,0.016976127320954906,1885
LUMIERE,1.0,0.2886088809244966,70871
LUMIERE,2.0,0.26403992098970785,48095
LUMIERE,3.0,0.22619991795432792,36565
LUMIERE,4.0,0.19348410016463044,34623
LUMIERE,5.0,0.15900918897323213,30036
LUMIERE,6.0,0.12368254441175375,26851
LUMIERE,7.0,0.10895134332053981,24231
LUMIERE,8.0,0.09400121013052122,23138
LUMIERE,9.0,0.09313684907691035,24158
LUMIERE,10.0,0.07645104733782412,21674
LUMIERE,11.0,0.07295645530939648,20944
LUMIERE,12.0,0.06875275451740855,20421
LUMIERE,13.0,0.06841410337913835,20449
LUMIERE,14.0,0.06948824905890731,19658
LUMIERE,15.0,0.07283400369605392,18398
LUMIERE,16.0,0.08310853469551742,17423
LUMIERE,17.0,0.09236842105263159,15200
LUMIERE,18.0,0.09494792035711755,14113
LUMIERE,19.0,0.09661716171617162,12120
LUMIERE,20.0,0.10758446110407945,10271
LUMIERE,21.0,0.12685673215141352,8348
LUMIERE,22.0,0.14078645235361653,6968
LUMIERE,23.0,0.17670454545454545,5280
LUMIERE,24.0,0.19654863290004482,4462
PROTEAS-brain-mets,1.0,0.08743521121989227,29519
PROTEAS-brain-mets,2.0,0.022321134913500122,45607
PROTEAS-brain-mets,3.0,0.01064397849845146,56182
PROTEAS-brain-mets,4.0,0.005931486572213999,94580
PROTEAS-brain-mets,5.0,0.003203963666391412,121100
PROTEAS-brain-mets,6.0,0.0023280515663421943,137454
PROTEAS-brain-mets,7.0,0.0016491961817809999,151589
PROTEAS-brain-mets,8.0,0.0012962540657968963,166634
PROTEAS-brain-mets,9.0,0.0009378977691431634,208978
PROTEAS-brain-mets,10.0,0.000760647699724744,182739
PROTEAS-brain-mets,11.0,0.0006693292325393576,180778
PROTEAS-brain-mets,12.0,0.00043194931794669425,187522
PROTEAS-brain-mets,13.0,0.0003758338814244104,191574
PROTEAS-brain-mets,14.0,0.00024193028106922433,186004
PROTEAS-brain-mets,15.0,0.00021343704792847488,168668
PROTEAS-brain-mets,16.0,0.00013457139012245997,185775
PROTEAS-brain-mets,17.0,0.00014457536546984214,179837
PROTEAS-brain-mets,18.0,0.0001419946269233172,176063
PROTEAS-brain-mets,19.0,0.00014454499748617396,159120
PROTEAS-brain-mets,20.0,0.00011305183426601097,159219
PROTEAS-brain-mets,21.0,0.00012026914969711164,157979
PROTEAS-brain-mets,22.0,0.00012436264146250465,144738
PROTEAS-brain-mets,23.0,0.0001790670606142,134028
PROTEAS-brain-mets,24.0,0.00021521146519153821,125458
UPENN-GBM,1.0,0.6801354401805869,70880
UPENN-GBM,2.0,0.6332940714566156,40752
UPENN-GBM,3.0,0.5876089060987415,33056
UPENN-GBM,4.0,0.5687472719336534,36656
UPENN-GBM,5.0,0.5243810952738185,21328
UPENN-GBM,6.0,0.4962235649546828,21184
UPENN-GBM,7.0,0.4900523560209424,15280
UPENN-GBM,8.0,0.49713631156930127,13968
UPENN-GBM,9.0,0.4884020618556701,12416
UPENN-GBM,10.0,0.4759725400457666,6992
UPENN-GBM,11.0,0.5012722646310432,6288
UPENN-GBM,12.0,0.38461538461538464,3744
UPENN-GBM,13.0,0.3788546255506608,3632
UPENN-GBM,14.0,0.4214876033057851,1936
UPENN-GBM,15.0,0.45454545454545453,1056
UPENN-GBM,16.0,0.484375,1024
UPENN-GBM,17.0,0.3902439024390244,656
UPENN-GBM,18.0,0.2692307692307692,416
UPENN-GBM,19.0,0.23529411764705882,272
UPENN-GBM,20.0,0.1111111111111111,144
UPENN-GBM,21.0,0.0,80
Yale-Brain-Mets,1.0,0.03210605354461188,19311
Yale-Brain-Mets,2.0,0.01202259279182356,37180
Yale-Brain-Mets,3.0,0.005970512976727184,41035
Yale-Brain-Mets,4.0,0.0032601715706452833,60733
Yale-Brain-Mets,5.0,0.001542080094705525,64199
Yale-Brain-Mets,6.0,0.0010300279329608939,57280
Yale-Brain-Mets,7.0,0.00040085515766969537,52388
Yale-Brain-Mets,8.0,0.00025535174703153593,46994
Yale-Brain-Mets,9.0,0.0001826187529168273,49283
Yale-Brain-Mets,10.0,5.324246619103397e-05,37564
Yale-Brain-Mets,11.0,0.00012202562538133008,32780
Yale-Brain-Mets,12.0,0.0002555175828036667,31309
Yale-Brain-Mets,13.0,7.057910152803755e-05,28337
Yale-Brain-Mets,14.0,7.996801279488205e-05,25010
Yale-Brain-Mets,15.0,9.889240506329114e-05,20224
Yale-Brain-Mets,16.0,0.00010066438494060802,19868
Yale-Brain-Mets,17.0,0.00017960845357121476,16703
Yale-Brain-Mets,18.0,0.00013945056477478735,14342
Yale-Brain-Mets,19.0,8.92379082634303e-05,11206
Yale-Brain-Mets,20.0,0.00010667804565820355,9374
Yale-Brain-Mets,21.0,0.0,7601
Yale-Brain-Mets,22.0,0.0,5432
Yale-Brain-Mets,23.0,0.0,4023
Yale-Brain-Mets,24.0,0.0,2699
