type,metric,mean,ci95_lo,ci95_hi,n_rows,n_patients,comparison,mean_delta,p_delta_gt_0,wilcoxon_p,pct_rows_below_25,pct_rows_below_50,pct_rows_below_75
mean,future_inside_dose95_pct,37.81677631007186,27.847322193388518,48.181816723439255,121.0,42.0,,,,,,,
mean,future_inside_dose100_pct,36.42652212610858,26.69926528841404,46.64900094815627,121.0,42.0,,,,,,,
mean,future_inside_heat80_pct,30.092799511157164,22.146970095746756,38.45632461111275,121.0,42.0,,,,,,,
mean,future_inside_heat50_pct,47.304548561111524,37.43589176833971,57.17401295652536,121.0,42.0,,,,,,,
mean,future_dmean_gy,13.831806083768607,10.253700322892922,17.597914056190792,120.0,41.0,,,,,,,
mean,gtv_v95_pct,44.99103753043635,35.531325605053425,54.30741009658381,43.0,43.0,,,,,,,
mean,heat80_v95_pct,56.576543169076906,45.07807618032034,67.88734483658534,43.0,43.0,,,,,,,
mean,heat50_v95_pct,49.723101715547294,39.1391519593945,60.140347119454425,43.0,43.0,,,,,,,
delta,dose95_vs_heat80,,-3.5935121528531835,18.63405949021937,121.0,42.0,future_inside_dose95_pct_minus_future_inside_heat80_pct,7.7239767989146975,0.9125,0.012378811198055622,,,
delta,dose95_vs_heat50,,-20.81024360435388,1.0215383256318247,121.0,42.0,future_inside_dose95_pct_minus_future_inside_heat50_pct,-9.487772251039658,0.0399,0.01365015402330798,,,
delta,heat50_vs_heat80,,13.954375507115442,20.784970908357963,121.0,42.0,future_inside_heat50_pct_minus_future_inside_heat80_pct,17.21174904995436,1.0,3.991969959024721e-19,,,
delta,dose100_vs_heat80,,-4.822817623793218,17.046327168743623,121.0,42.0,future_inside_dose100_pct_minus_future_inside_heat80_pct,6.333722614951407,0.8699,0.039937295179889004,,,
failure,future_inside_dose95_pct,,,,,,,,,,52.892561983471076,60.33057851239669,79.33884297520662
failure,future_inside_dose100_pct,,,,,,,,,,54.54545454545454,61.15702479338842,80.99173553719008
failure,future_inside_heat80_pct,,,,,,,,,,56.19834710743802,71.07438016528926,90.08264462809917
failure,future_inside_heat50_pct,,,,,,,,,,38.01652892561984,52.066115702479344,69.42148760330579
